question,sql
Who was the radio commentator when the final television commentator was John Dunn? ,SELECT Radio commentator FROM table WHERE Final television commentator = John Dunn
What is the latest year that the final television commentator was David Jacobs? ,SELECT MAX Year(s) FROM table WHERE Final television commentator = David Jacobs
What was their record when the attendance at the game was 14489?,SELECT Record FROM table WHERE Attendance = 14489
When did they play at the Cotton Bowl?,SELECT Date FROM table WHERE Game site = Cotton Bowl
What is the percentage of this constellation abbreviated as 'nor'?,SELECT Per­cent­age FROM table WHERE Abbre­viation = Nor
"This constellation, abbreviated as 'oph' has how many right ascension (in hm)?",SELECT COUNT Right ascension (hm) FROM table WHERE Abbre­viation = Oph
What is the name of this constellation with an area of 245.375 sq. deg.?,SELECT Constellation FROM table WHERE Area (sq.deg.) = 245.375
This constellation with a ranking of 51 has how many percentages on record?,SELECT COUNT Per­cent­age FROM table WHERE Rank = 51
What is the percentage of this constellation with an area of 248.885 sq. deg.?,SELECT Per­cent­age FROM table WHERE Area (sq.deg.) = 248.885
Name the broadcast date for 6.4 million viewers for the archive of 16mm t/r,SELECT Broadcast date FROM table WHERE Viewers (in millions) = 6.4 AND Archive = 16mm t/r
Name the archive where run time 24:04,SELECT Archive FROM table WHERE Run time = 24:04
"On November 1, 1964, where was the game site?","SELECT Game site FROM table WHERE Date = November 1, 1964"
How many people attended the Week 8 game when Denver played Buffalo?,SELECT Attendance FROM table WHERE Week = 8
How many times did the Denver Broncos face the Dallas Texans this season?,SELECT COUNT Record FROM table WHERE Opponent = Dallas Texans
What year was the winning race time 1:55:13?,SELECT MAX Year FROM table WHERE Race Time = 1:55:13
"For races with an average speed of 113.835 mph, what are the winning race times?",SELECT Race Time FROM table WHERE Average Speed (mph) = 113.835
What manufacturer won the race on November 2?,SELECT Manufacturer FROM table WHERE Date = November 2
What date did Jamie McMurray win the race?,SELECT Date FROM table WHERE Driver = Jamie McMurray
What was the date of the race with a winning time of 1:55:13?,SELECT Date FROM table WHERE Race Time = 1:55:13
What team(s) enjoyed an average spped (mph) of 138.14?,SELECT Team FROM table WHERE Average Speed (mph) = 138.14
How many laps recorded in 2001?,SELECT Laps FROM table WHERE Year = 2001
What team(s) were in 2003?,SELECT Team FROM table WHERE Year = 2003
What was the average speed (mph) for the racer who finished in 1:45:00?,SELECT Average Speed (mph) FROM table WHERE Race Time = 1:45:00
How many total miles recorded for the racer who finished in 1:05:33?,SELECT Miles (km) FROM table WHERE Race Time = 1:05:33
"what episode # was titled ""SWAT Kats Unplugged""?","SELECT Episode # FROM table WHERE Title = ""SWAT Kats Unplugged"""
what was the title of the episode 21a?,SELECT Title FROM table WHERE Episode # = 21a
who wrote episode 14?,SELECT Writer(s) FROM table WHERE Episode # = 14
"on what date did the episode titled ""A Bright and Shiny Future"" originally air?","SELECT Originalairdate FROM table WHERE Title = ""A Bright and Shiny Future"""
Who many votes did E. Greenberg receive in Morris County?,SELECT COUNT E. Greenberg FROM table WHERE County = Morris
How many precincts are in the county where G. Hager received 19 (20%) votes?,SELECT Precincts FROM table WHERE G. Hager = 19 (20%)
Name the slope length for 1966 groundstation,SELECT COUNT slope length FROM table WHERE elevation groundstation = 1966
Name the name or route for slope length being 336,SELECT Name or route FROM table WHERE slope length = 336
Name the slope length for gondola,SELECT MIN slope length FROM table WHERE type = gondola
Name the least capacity for persons hour for 1983,SELECT MIN capacity in persons/hour FROM table WHERE construction year(s) = 1983
Who is the player of the round with 80 fixtures? ,SELECT Player of the Round FROM table WHERE Number of fixtures = 80
How many categories of new entries this round are there for the fourth round proper? ,SELECT COUNT New entries this round FROM table WHERE Round = Fourth Round Proper
How many runner-ups were there when the show went to Japan?,SELECT COUNT Runner-up FROM table WHERE International destination = Japan
How many won the prize when Regina was the runner-up?,SELECT COUNT Winner FROM table WHERE Runner-up = Regina
Which season is it when Milouska was the show's mole ?,SELECT Season FROM table WHERE The Mole = Milouska
What were the requirements for the role played by Robert Austin in the original production?,SELECT Actor required FROM table WHERE Actor in original production = Robert Austin
"What actor played the ""female, older"" role in the original production?","SELECT Actor in original production FROM table WHERE Actor required = Female, older"
What FlatSpin actor played the same role as Robert Austin?,SELECT FlatSpin FROM table WHERE Actor in original production = Robert Austin
"How many RolePlay actors played the role requiring a ""male, younger"" actor?","SELECT COUNT RolePlay FROM table WHERE Actor required = Male, younger"
How many RolePlay actors played the same role as FlatSpin's Tracy Taylor?,SELECT COUNT RolePlay FROM table WHERE FlatSpin = Tracy Taylor
What RolePlay actor played the same role Alison Pargeter played in the original production?,SELECT RolePlay FROM table WHERE Actor in original production = Alison Pargeter
What's the name of the church in Stavang?,SELECT Church Name FROM table WHERE Location of the Church = Stavang
What's the name of the church in Stavang?,SELECT Church Name FROM table WHERE Location of the Church = Stavang
What's the sub-parish (sokn) of Eikefjord?,SELECT Sub-Parish (Sokn) FROM table WHERE Location of the Church = Eikefjord
"On how many locations is there a church named Askrova Bedehuskapell, built in 1957?",SELECT COUNT Location of the Church FROM table WHERE Year Built = 1957 AND Church Name = Askrova bedehuskapell
In what parish is the Askrova Bedehuskapell church?,SELECT Parish (Prestegjeld) FROM table WHERE Church Name = Askrova bedehuskapell
Which channel has the host Art Rooijakkers?,SELECT Channel FROM table WHERE Host(s) = Art Rooijakkers
When did the program air on Vier?,SELECT Premiere / Aired FROM table WHERE Channel = VIER
What is the title that aired from 17 may 2008 – 21 june 2008 on Nederland 3?,SELECT Name FROM table WHERE Channel = Nederland 3 AND Premiere / Aired = 17 May 2008 – 21 June 2008
How many seasons did the show run in Poland?,SELECT Seasons FROM table WHERE Country / Region = Poland
When 4744 is the avg. trips per mile (x1000) what is the current stock?,SELECT Current Stock FROM table WHERE Avg. trips per mile (×1000) = 4744
When green is the map colour what is the future stock?,SELECT Future Stock FROM table WHERE Map colour = Green
When turquoise is the map colour how many avg. trips per mile (×1000)  are there?,SELECT COUNT Avg. trips per mile (×1000) FROM table WHERE Map colour = Turquoise
When turquoise is the map colour what is the length?,SELECT Length FROM table WHERE Map colour = Turquoise
What is the latest year a division was established?,SELECT MAX Year established FROM table
How many powiats have mstsislaw as a capital?,SELECT Number of powiats FROM table WHERE Capital = Mstsislaw
How many capitals had brest litovsk voivodeship as voivodeship after 1569?,SELECT COUNT Capital FROM table WHERE Voivodeship after 1569 = Brest Litovsk Voivodeship
What is the latest year established that had 5 powiats?,SELECT MAX Year established FROM table WHERE Number of powiats = 5 powiats
In what parish is the sub-parish fortun? ,SELECT Parish (Prestegjeld) FROM table WHERE Sub-Parish (Sogn) = Fortun
What is the sub-parish of the church located in Fortun? ,SELECT Sub-Parish (Sogn) FROM table WHERE Location of the Church = Fortun
What is the year that the oldest church was built in Jostedal? ,SELECT MIN Year Built FROM table WHERE Location of the Church = Jostedal
What parishes are in Solvorn? ,SELECT Parish (Prestegjeld) FROM table WHERE Location of the Church = Solvorn
Name the number of parish for vilnes kyrkje,SELECT COUNT Parish (Prestegjeld) FROM table WHERE Church Name = Vilnes kyrkje
Name the parish for 1908,SELECT Parish (Prestegjeld) FROM table WHERE Year Built = 1908
Name the maximum year built for holmedal kyrkje,SELECT MAX Year Built FROM table WHERE Church Name = Holmedal kyrkje
What is the week where the game site is Shea Stadium?,SELECT MIN Week FROM table WHERE Game site = Shea Stadium
"For week 6, what were the results?",SELECT Result FROM table WHERE Week = 6
In how many weeks was the game played on November 3 played?,SELECT COUNT Week FROM table WHERE Date = November 3
What is the broadcast date when 8.3 million viewers watched?,SELECT Broadcast date FROM table WHERE Viewers (in millions) = 8.3
What is the broadcast date of the episode with run time 25:12?,SELECT Broadcast date FROM table WHERE Run time = 25:12
How many million viewers watched the episode that runs 25:55 minutes?,SELECT Viewers (in millions) FROM table WHERE Run time = 25:55
How many dances did Warren & Kym have?,SELECT Number of dances FROM table WHERE Couple = Warren & Kym
What are the total points for the team that averages 17.8?,SELECT Total points FROM table WHERE Average = 17.8
What is average for Cody & Julianne?,SELECT Average FROM table WHERE Couple = Cody & Julianne
what is the division southwest when division south was kožuf and division east was osogovo,SELECT Division Southwest FROM table WHERE Division South = Kožuf AND Division East = Osogovo
what is the division north in 2007–08,SELECT Division North FROM table WHERE Season = 2007–08
what is the division north when division south was kožuf and division southwest was ilinden velmej,SELECT Division North FROM table WHERE Division South = Kožuf AND Division Southwest = Ilinden Velmej
how many division southwest was there when  division east was babi,SELECT COUNT Division Southwest FROM table WHERE Division East = Babi
what is the division east when division north was milano,SELECT Division East FROM table WHERE Division North = Milano
"who co-wrote Season 2, Episode 3?",SELECT Written by FROM table WHERE No. in season = 3
what is the series # for the episode directed by Kelly Sandefur?,SELECT MAX No. in series FROM table WHERE Directed by = Kelly Sandefur
how many production codes were there for the episode that was 32 in the series?,SELECT COUNT Prod. code FROM table WHERE No. in series = 32
What year was the film Milagros submitted?,SELECT Year (Ceremony) FROM table WHERE Original title = Milagros
How many years was the film The Blossoming of Maximo Oliveros entered?,SELECT COUNT Year (Ceremony) FROM table WHERE Film title used in nomination = The Blossoming of Maximo Oliveros
How many directors were there for the film with the original title of The Moises Padilla Story?,SELECT COUNT Director FROM table WHERE Original title = The Moises Padilla Story
What spacecraft was launched from the LC34 launch complex? ,SELECT Spacecraft FROM table WHERE Launch complex = LC34
What spacecrafts had 22 orbital flights? ,SELECT Spacecraft FROM table WHERE Flights = 22 Orbital
What launcher had spacecrafts that did 37 orbital flights? ,SELECT Launcher FROM table WHERE Flights = 37 Orbital
What launcher had spacecrafts that did 37 orbital flights? ,SELECT Launcher FROM table WHERE Flights = 37 Orbital
What years had 134 orbital flights? ,SELECT Years FROM table WHERE Flights = 134 Orbital
"In what country did the  ""amsterdam's futuristic floating city"" project take place?","SELECT Country FROM table WHERE Title = ""Amsterdam's Futuristic Floating City"""
What is the status of the London Aquatics Centre project at the time of production?,SELECT Status at production FROM table WHERE Project = London Aquatics Centre
